Date,Open,Close,High,Volume,Low,Signal,Entry,TakeProfit,StopLoss
2023-08-07 00:00:00,141.869,141.819,141.914,896,141.785,0,,,
2023-08-07 00:05:00,141.818,141.733,141.826,606,141.73,0,,,
2023-08-07 00:10:00,141.728,141.704,141.753,662,141.687,0,,,
2023-08-07 00:15:00,141.702,141.644,141.717,920,141.641,0,,,
2023-08-07 00:20:00,141.643,141.645,141.673,713,141.607,0,,,
2023-08-07 00:25:00,141.641,141.704,141.713,668,141.633,0,,,
2023-08-07 00:30:00,141.707,141.646,141.713,657,141.628,0,,,
2023-08-07 00:35:00,141.641,141.689,141.694,624,141.64,0,,,
2023-08-07 00:40:00,141.682,141.664,141.696,635,141.637,0,,,
2023-08-07 00:45:00,141.661,141.666,141.692,626,141.654,0,,,
2023-08-07 00:50:00,141.666,141.641,141.684,1128,141.557,0,,,
2023-08-07 00:55:00,141.631,141.596,141.649,1137,141.513,0,,,
2023-08-07 01:00:00,141.593,141.647,141.649,887,141.575,0,,,
2023-08-07 01:05:00,141.648,141.816,141.819,994,141.639,0,,,
2023-08-07 01:10:00,141.813,141.907,141.933,1268,141.751,0,,,
2023-08-07 01:15:00,141.904,141.864,141.913,1113,141.849,0,,,
2023-08-07 01:20:00,141.86,141.846,141.87,673,141.837,0,,,
2023-08-07 01:25:00,141.847,141.865,141.883,855,141.843,0,,,
2023-08-07 01:30:00,141.862,141.843,141.878,1050,141.818,0,,,
2023-08-07 01:35:00,141.846,141.841,141.867,889,141.823,0,,,
2023-08-07 01:40:00,141.841,141.814,141.849,947,141.794,0,,,
2023-08-07 01:45:00,141.816,141.781,141.831,876,141.767,0,,,
2023-08-07 01:50:00,141.779,141.767,141.785,870,141.738,0,,,
2023-08-07 01:55:00,141.76,141.77,141.782,754,141.753,0,,,
2023-08-07 02:00:00,141.771,141.843,141.855,971,141.753,0,,,
2023-08-07 02:05:00,141.843,141.895,141.903,864,141.836,0,,,
2023-08-07 02:10:00,141.891,141.93,141.985,832,141.891,0,,,
2023-08-07 02:15:00,141.929,141.926,141.954,842,141.915,0,,,
2023-08-07 02:20:00,141.926,141.901,141.928,903,141.878,0,,,
2023-08-07 02:25:00,141.902,141.928,141.934,785,141.888,0,,,
2023-08-07 02:30:00,141.93,141.933,141.936,825,141.908,0,,,
2023-08-07 02:35:00,141.934,141.96,141.963,627,141.921,0,,,
2023-08-07 02:40:00,141.957,142.035,142.04,872,141.957,0,,,
2023-08-07 02:45:00,142.036,142.016,142.04,633,142.003,0,,,
2023-08-07 02:50:00,142.009,142.02,142.039,657,142.007,0,,,
2023-08-07 02:55:00,142.023,142.016,142.028,659,142.008,0,,,
2023-08-07 03:00:00,142.017,142.012,142.027,774,142.003,0,,,
2023-08-07 03:05:00,142.013,142.001,142.018,779,141.996,0,,,
2023-08-07 03:10:00,141.999,141.98,142.015,839,141.973,0,,,
2023-08-07 03:15:00,141.982,141.977,141.988,755,141.957,0,,,
2023-08-07 03:20:00,141.975,141.977,141.981,655,141.968,0,,,
2023-08-07 03:25:00,141.975,142.011,142.014,594,141.97,0,,,
2023-08-07 03:30:00,142.013,142.024,142.027,606,141.996,0,,,
2023-08-07 03:35:00,142.025,142.109,142.129,738,142.016,0,,,
2023-08-07 03:40:00,142.11,142.13,142.153,750,142.104,0,,,
2023-08-07 03:45:00,142.124,142.123,142.145,530,142.11,0,,,
2023-08-07 03:50:00,142.122,142.153,142.164,677,142.119,0,,,
2023-08-07 03:55:00,142.157,142.182,142.212,826,142.139,0,,,
